           4   3.2121133268199237E-002   0.00000000    
  0.432717386674148941E+01  0.408262191687375875E+01  0.100000000000000000E+01           0
  0.383875032177386810E+01  0.369566351091428347E+01  0.246265408685382381E+00           1
  0.389951723096308678E+01  0.500953231145301903E+01  0.100000000000000000E+01           0
  0.346993890367544822E+01  0.424947189100393885E+01  0.746114981332533400E+00           1
  0.531612183611528710E+01  0.392878250305109145E+01  0.100000000000000000E+01           0
  0.570588777213675336E+01  0.467423802307370906E+01  0.682404728018655593E+00           1
  0.400219716473679821E+01  0.309409441954850806E+01  0.100000000000000000E+01           0
  0.462124747571298577E+01  0.317910929314858715E+01  0.249721274929658454E+00           1
  0.370579256872858176E+01  0.213817104827416804E+01  0.100000000000000000E+01           0
  0.396930594126198377E+01  0.166426575538763522E+01  0.844824095019671706E-01           1
          16  0.13294854942493287        0.00000000    
  0.290948611363798326E+01  0.283981836141545152E+01  0.100000000000000000E+01           0
  0.352145703131821097E+01  0.273706280725504980E+01  0.241075514216909648E+00           1
  0.491188888759592235E+01  0.490226244067285588E+01  0.100000000000000000E+01           0
  0.466242347360304521E+01  0.577633645726039457E+01  0.817953111883923611E+00           1
  0.239313234050584667E+01  0.504492712442172930E+01  0.100000000000000000E+01           0
  0.316105659632048885E+01  0.555280718764403147E+01  0.841358000267370176E+00           1
  0.433246846630561411E+01  0.408674680532822521E+01  0.100000000000000000E+01           0
  0.378230608054013340E+01  0.371918079437395654E+01  0.323304081638077223E+00           1
  0.391792324530348379E+01  0.502779697572558870E+01  0.100000000000000000E+01           0
  0.345664627522471113E+01  0.426276683399548872E+01  0.786670155211230071E+00           1
  0.531575768633386314E+01  0.390143721469326499E+01  0.100000000000000000E+01           0
  0.573808276971057118E+01  0.465305373616261164E+01  0.724280570434896687E+00           1
  0.402281434935674209E+01  0.310275218599161740E+01  0.100000000000000000E+01           0
  0.468079685717798100E+01  0.319171127560854817E+01  0.327937800085831954E+00           1
  0.369886724049735260E+01  0.214082927185011940E+01  0.100000000000000000E+01           0
  0.399266558604353561E+01  0.161336210786492451E+01  0.207541431054452330E+00           1
          16  0.13865035180470942        0.00000000    
  0.282597425287392756E+01  0.285519040217391806E+01  0.100000000000000000E+01           0
  0.348280284868113554E+01  0.275064263430732714E+01  0.330194031013453682E+00           1
  0.492653812943603775E+01  0.489715551707063046E+01  0.100000000000000000E+01           0
  0.466104268435334035E+01  0.579186111179106167E+01  0.866532541997272476E+00           1
  0.236255020272648775E+01  0.502715069471079712E+01  0.100000000000000000E+01           0
  0.314321222249366894E+01  0.555554041121734876E+01  0.885342283636420868E+00           1
  0.433929420379531194E+01  0.408724233371596490E+01  0.100000000000000000E+01           0
  0.373947638438265750E+01  0.373858144474161636E+01  0.387581827475893759E+00           1
  0.393702084080911963E+01  0.504607190110310455E+01  0.100000000000000000E+01           0
  0.344566614479045041E+01  0.427612847960797282E+01  0.826737320583591284E+00           1
  0.531678031925395356E+01  0.387366170097264284E+01  0.100000000000000000E+01           0
  0.576861639038920071E+01  0.463195866316294413E+01  0.765412266917816719E+00           1
  0.404036657051101855E+01  0.311342991860204421E+01  0.100000000000000000E+01           0
  0.473107062375347276E+01  0.320407123823935347E+01  0.393252221230812271E+00           1
  0.370001469997070531E+01  0.212201472234708488E+01  0.100000000000000000E+01           0
  0.401341352104015758E+01  0.156207432646182220E+01  0.283358200958512718E+00           1
          16  0.14459887588683581        0.00000000    
  0.274867642190183536E+01  0.286931669177399229E+01  0.100000000000000000E+01           0
  0.344257731823666058E+01  0.276642934466786361E+01  0.402974354902912335E+00           1
  0.494094676130134847E+01  0.488876126241525899E+01  0.100000000000000000E+01           0
  0.466007607003002100E+01  0.580399606835197890E+01  0.914725144988972172E+00           1
  0.233092814029426965E+01  0.500889053312189336E+01  0.100000000000000000E+01           0
  0.312249192867206249E+01  0.556002271813117854E+01  0.929061861552513246E+00           1
  0.434416033327256734E+01  0.408519424415241161E+01  0.100000000000000000E+01           0
  0.371285455531001674E+01  0.373408177047153567E+01  0.444751818774705709E+00           1
  0.395948852424744091E+01  0.508043736660998846E+01  0.100000000000000000E+01           0
  0.341854350118387007E+01  0.431999055884342376E+01  0.866441389832111941E+00           1
